/导言,单选题,中国近现代史，是指（）以来的中国历史。,A,,易,,4,1840年,1860年,1900年,1919年
/导言,单选题,中国近代史是从1840年鸦片战争爆发到（）的历史。,C,,易,,4,1919年五四运动,1927年大革命失败,1949年中华人民共和国成立前夕,1956年社会主义基本制度确立
/导言,单选题,1842年8月29日，清政府与英国签订中国近代史上第一个不平等条约——（）。,A,,易,,4,《南京条约》,《北京条约》,《天津条约》,《马关条约》
/导言,单选题,中国共产党一经成立，就把实现（）作为党的最高理想和最终目标。,A,,易,,4,共产主义,社会主义,资本主义,帝国主义
/导言,单选题,十月革命一声炮响，给中国送来了（）。,D,,易,,4,无政府主义,新黑格尔主义,新康德主义,马克思列宁主义
/导言,单选题,近代中国人民的革命，在（）以前，属于旧的资产阶级民主主义革命范畴。,C,,易,,4,辛亥革命,新文化运动,五四运动,中国共产党成立
/导言,单选题,推翻“三座大山”，是（）的主要任务。,C,,易,,4,旧式农民战争,旧的资产阶级革命,新民主主义革命,社会主义革命
/导言,单选题,中国人民的革命斗争进入新民主主义革命时期，（）成为民主革命的领导力量。,D,,易,,4,中国农民阶级及其领导人,封建地主阶级及其武装力量,民族资产阶级及其政党,中国工人阶级及其政党
/导言,单选题,建立一个（）领导的以工农联盟为基础的人民民主专政的人民共和国，是中国共产党领导中国人民进行新民主主义革命所要达到的基本目标。,B,,易,,4,农民阶级,工人阶级,民族资产阶级,小资产阶级
/导言,多选题,通过一系列不平等条约和其他方式，西方列强在中国攫取大量特权和利益，如（）。,ABCD,,易,,4,割占香港岛,外国船舰可在中国领海自由航行,外国人在华不受中国法律管束，享受领事裁判权,协定关税
/导言,多选题,在半殖民地半封建的中国，（）的联合压迫，严重阻碍了中国的社会发展和进步。,BD,,中,,4,民族资产阶级,本国封建主义,城市小资产阶级,外国资本-帝国主义
/导言,多选题,随着近代中国社会性质的改变，社会阶级关系也发生深刻变动，不仅原有的阶级发生了变化，还有（）等新的阶级产生出来。,ACD,,中,,4,工人阶级,农民阶级,资产阶级,小资产阶级
/导言,多选题,在1949年新中国成立前，中国人民继续遭受（）的压迫，被称为压在中国人民头上的“三座大山”。,BCD,,中,,4,民族资本主义,帝国主义,封建主义,官僚资本主义
/导言,多选题,中国近代历史表明，不触动封建根基的（）以及照搬西方资本主义的其他种种方案，都不能完成中华民族救亡图存的使命和反帝反封建的任务。,ABCD,,易,,4,自强运动,改良主义,旧式农民战争,资产阶级革命派领导的革命
/导言,多选题,鸦片战争以后，中国社会发生两个根本变化，包括（）。,AB,,中,,4,独立的中国逐步变成半殖民地的中国,封建的中国逐步变成半封建的中国,独立的中国变为西方列强的殖民地,封建的中国逐步变成资本主义的中国
/导言,填空题,争得（）、人民解放，实现国家富强、人民幸福，是中国人民必须完成的两大历史任务。,A,,中,,1,民族独立,,,
/导言,填空题,中国共产党一经诞生，就把为中国人民谋幸福、为中华民族谋（）确立为自己的初心使命。,A,,中,,1,复兴,,,
/导言,判断题,坚持和发展中国特色社会主义，是实现中华民族伟大复兴的必由之路。,A,,易,,2,正确,错误,,
/导言,判断题,坚持中国共产党的领导，是实现中华民族伟大复兴的根本保证。,A,,易,,2,正确,错误,,
/导言,判断题,新兴的工人阶级是近代中国最革命的阶级。,A,,易,,2,正确,错误,,
/导言,判断题,近代以来，世界主要资本-帝国主义国家几乎都侵略过中国。,A,,易,,2,正确,错误,,
/导言,判断题,从鸦片战争直到抗日战争以前中国的反侵略战争都是以失败而告结束。,A,,易,,2,正确,错误,,
/导言,判断题,中国现代史是1949年中华人民共和国成立以来的历史。,A,,易,,2,正确,错误,,
/导言,判断题,必须首先进行反帝反封建的民主革命，中国才能争得民族独立、人民解放。,A,,易,,2,正确,错误,,
/导言,判断题,十月革命给世界人民解放事业开辟了广大的可能性和现实的道路。,A,,易,,2,正确,错误,,
/导言,判断题,新文化运动是中国新民主主义革命的开端。,B,五四运动,难,,2,正确,错误,,
/导言,判断题,领导权的变化，是区分新旧民主主义革命的根本标志。,A,,易,,2,正确,错误,,
/导言,判断题,革命的根本问题是政权问题。,A,,易,,2,正确,错误,,
/导言,多选题,新民主主义革命的胜利的重要意义有（）。,ABD,,中,,4,彻底结束了旧中国半殖民地半封建社会的历史,彻底结束了旧中国一盘散沙的局面,彻底实现了中华民族伟大复兴,彻底废除了列强强加给中国的不平等条约和帝国主义在中国的一切特权
/导言,单选题,（）宣告中国人民当家作主时代的到来，中华民族以崭新的姿态屹立于世界民族之林。,B,,易,,4,抗日战争的胜利,中华人民共和国的成立,社会主义制度的建立,社会主义改造的完成
/导言,单选题,新中国的政体是（）。,C,,易,,4,议会制共和制,总统制共和制,人民代表大会制度,议会制君主立宪制
/导言,单选题,新中国的国体是（）领导的以工农联盟为基础的人民民主专政的社会主义国家。,A,,易,,4,工人阶级,农民阶级,地主阶级,资产阶级
/导言,多选题,新中国成立初期，以毛泽东为主要代表的中国共产党人，团结带领全党全国各族人民，（）以及促进经济文化等各项事业恢复和发展，开始了由新民主主义向社会主义的过渡。,ABCD,,易,,4,巩固党的执政地位,确立人民当家作主的国体和政体,捍卫新中国的独立和主权,实现祖国大陆的解放和统一
/导言,单选题,社会主义基本制度在中国大地落地生根的标志是（）。,D,,易,,4,土地革命完成,封建婚姻制度被废除,镇压反革命运动结束,社会主义改造基本完成
/导言,判断题,只有社会主义才能救中国，只有社会主义才能发展中国。,A,,易,,2,正确,错误,,
/导言,单选题,以（）为标志，中国进入改革开放和社会主义现代化建设新时期。,B,,易,,4,1954年《中华人民共和国宪法》颁布,1978年党的十一届三中全会,1992年确立社会主义市场经济体制改革目标,2001年中国加入世界贸易组织
/导言,判断题,推进改革开放，实现了从高度集中的计划经济体制到充满活力的社会主义市场经济体制的历史性转变。,A,,易,,2,正确,错误,,
/导言,判断题,改革开放以来，我国实现了人民生活从温饱不足到总体小康、奔向全面小康的历史性跨越。,A,,易,,2,正确,错误,,
/导言,判断题,改革开放是决定当代中国前途命运的关键一招。,A,,易,,2,正确,错误,,
/导言,判断题,学习历史的主要目的是为了以史鉴今、资政育人。,A,,易,,2,正确,错误,,
